file_id,section_text,section_type,parent_section_type,level,start,end,line_id,confidence,alias_source
7.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1734,1752,36,1.0,kết quả xét nghiệm
7.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1790,1816,37,1.0,kết quả chẩn đoán hình ảnh
7.txt,Các thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,1888,1914,38,1.0,các thủ thuật đã thực hiện
7.txt,Các phát hiện chẩn đoán khác,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,1962,1990,39,1.0,các phát hiện chẩn đoán khác
8.txt,Bệnh sử,CURRENT_HISTORY,,1,0,7,1,1.0,bệnh sử
8.txt,Kết quả khám tại bệnh viện,HOSPITAL_ASSESSMENT,,1,704,730,7,1.0,kết quả khám tại bệnh viện
8.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,731,749,8,1.0,kết quả xét nghiệm
8.txt,Thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,828,850,9,1.0,thủ thuật đã thực hiện
9.txt,Tiền sử bệnh,PAST_HISTORY,,1,4,16,1,1.0,tiền sử bệnh
9.txt,Bệnh lý mãn tính,CHRONIC_DISEASES,PAST_HISTORY,2,21,37,2,1.0,bệnh lý mãn tính
9.txt,Thuốc trước khi nhập viện,MEDICATION_HISTORY,PAST_HISTORY,2,77,102,3,1.0,thuốc trước khi nhập viện
9.txt,Lịch sử bệnh hiện tại,CURRENT_HISTORY,,1,114,135,5,1.0,lịch sử bệnh hiện tại
9.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,140,155,6,1.0,lý do nhập viện
9.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,201,221,7,1.0,triệu chứng hiện tại
9.txt,Các sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,274,305,10,1.0,các sự kiện trước khi nhập viện
9.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,641,663,17,1.0,đánh giá tại bệnh viện
9.txt,Kết quả phòng thí nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,668,692,18,1.0,kết quả phòng thí nghiệm
9.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,716,742,19,1.0,kết quả chẩn đoán hình ảnh
10.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,3,24,1,1.0,tiền sử bệnh nội khoa
10.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,62,83,3,1.0,tiền sử bệnh hiện tại
10.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,84,104,4,1.0,triệu chứng hiện tại
10.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,204,226,11,1.0,đánh giá tại bệnh viện
10.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,227,245,12,1.0,kết quả xét nghiệm
10.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,296,322,13,1.0,kết quả chẩn đoán hình ảnh
10.txt,Thủ thuật thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,531,550,16,1.0,thủ thuật thực hiện
10.txt,Các phát hiện chẩn đoán khác,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,594,622,19,1.0,các phát hiện chẩn đoán khác
11.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,4,25,1,1.0,tiền sử bệnh nội khoa
11.txt,Các bệnh lý mạn tính,CHRONIC_DISEASES,PAST_HISTORY,2,30,50,2,1.0,các bệnh lý mạn tính
11.txt,Thuốc trước khi nhập viện lần này,MEDICATION_HISTORY,PAST_HISTORY,2,273,306,9,1.0,thuốc trước khi nhập viện lần này
11.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,331,352,10,1.0,tiền sử bệnh hiện tại
11.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,383,405,12,1.0,đánh giá tại bệnh viện
11.txt,Các thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,410,436,13,1.0,các thủ thuật đã thực hiện
12.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,4,25,1,1.0,tiền sử bệnh nội khoa
12.txt,Bệnh lý mãn tính,CHRONIC_DISEASES,PAST_HISTORY,2,30,46,2,1.0,bệnh lý mãn tính
12.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,90,111,4,1.0,tiền sử bệnh hiện tại
12.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,116,131,5,1.0,lý do nhập viện
12.txt,Thời điểm khởi phát triệu chứng,ADMISSION_REASON,CURRENT_HISTORY,2,192,223,6,1.0,thời điểm khởi phát triệu chứng
12.txt,Diễn biến bệnh,SYMPTOM_DETAIL,CURRENT_HISTORY,2,272,286,9,1.0,diễn biến bệnh
12.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,535,555,14,1.0,triệu chứng hiện tại
12.txt,Các diễn biến  trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,723,757,21,1.0,các diễn biến trước khi nhập viện
12.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,988,1010,26,1.0,đánh giá tại bệnh viện
12.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1015,1033,27,1.0,kết quả xét nghiệm
12.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1077,1103,28,1.0,kết quả chẩn đoán hình ảnh
12.txt,Các thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,1167,1193,29,1.0,các thủ thuật đã thực hiện
13.txt,Tiền sử bệnh,PAST_HISTORY,,1,4,16,1,1.0,tiền sử bệnh
13.txt,Các bệnh lý mãn tính,CHRONIC_DISEASES,PAST_HISTORY,2,21,41,2,1.0,các bệnh lý mãn tính
13.txt,Tiền sử phẫu thuật / thủ thuật,PAST_HISTORY,,1,215,245,8,1.0,tiền sử phẫu thuật / thủ thuật
13.txt,Thuốc trước khi nhập viện,MEDICATION_HISTORY,PAST_HISTORY,2,286,311,9,1.0,thuốc trước khi nhập viện
13.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,530,551,15,1.0,tiền sử bệnh hiện tại
13.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,556,571,16,1.0,lý do nhập viện
13.txt,Diễn biến bệnh,SYMPTOM_DETAIL,CURRENT_HISTORY,2,642,656,17,1.0,diễn biến bệnh
13.txt,Triệu chứng khi nhập viện,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,1312,1337,23,1.0,triệu chứng khi nhập viện
13.txt,Đặc điểm của triệu chứng,SYMPTOM_DETAIL,CURRENT_HISTORY,2,1563,1587,29,1.0,đặc điểm của triệu chứng
13.txt,Các sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,1783,1814,34,1.0,các sự kiện trước khi nhập viện
13.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,2420,2442,42,1.0,đánh giá tại bệnh viện
13.txt,Các phát hiện chẩn đoán khác,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,2447,2475,43,1.0,các phát hiện chẩn đoán khác
14.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,4,25,1,1.0,tiền sử bệnh nội khoa
14.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,30,51,2,1.0,tiền sử bệnh hiện tại
14.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,52,67,3,1.0,lý do nhập viện
14.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,100,120,4,1.0,triệu chứng hiện tại
14.txt,Đặc điểm triệu chứng,SYMPTOM_DETAIL,CURRENT_HISTORY,2,159,179,8,1.0,đặc điểm triệu chứng
14.txt,Các sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,378,409,12,1.0,các sự kiện trước khi nhập viện
15.txt,Bệnh sử hiện tại,CURRENT_HISTORY,,1,3,19,1,1.0,bệnh sử hiện tại
15.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,20,35,2,1.0,lý do nhập viện
15.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,96,118,4,1.0,đánh giá tại bệnh viện
15.txt,Các thủ thuật thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,119,142,5,1.0,các thủ thuật thực hiện
15.txt,Các phát hiện chẩn đoán khác,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,174,202,6,1.0,các phát hiện chẩn đoán khác
16.txt,Tiền sử bệnh,PAST_HISTORY,,1,3,15,1,1.0,tiền sử bệnh
16.txt,Các bệnh lý mạn tính,CHRONIC_DISEASES,PAST_HISTORY,2,16,36,2,1.0,các bệnh lý mạn tính
16.txt,Tiền sử phẫu thuật / thủ thuật,PAST_HISTORY,,1,152,182,7,1.0,tiền sử phẫu thuật / thủ thuật
16.txt,Các yếu tố nguy cơ liên quan,RISK_FACTORS,PAST_HISTORY,2,307,335,8,1.0,các yếu tố nguy cơ liên quan
16.txt,Bệnh sử hiện tại,CURRENT_HISTORY,,1,356,372,10,1.0,bệnh sử hiện tại
16.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,373,388,11,1.0,lý do nhập viện
16.txt,Thời điểm khởi phát triệu chứng,ADMISSION_REASON,CURRENT_HISTORY,2,435,466,12,1.0,thời điểm khởi phát triệu chứng
16.txt,Diễn biến bệnh,SYMPTOM_DETAIL,CURRENT_HISTORY,2,485,499,13,1.0,diễn biến bệnh
16.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,968,988,18,1.0,triệu chứng hiện tại
