canonical_key,canonical_name,category,default_specimen,aliases,external_source_notes
t_uptake,T-uptake,coagulation,blood,T-uptake,lab_med_ministry_pdf#6:165
tacrolimus,Tacrolimus,chemistry,blood,Tacrolimus,lab_med_ministry_pdf#5:150
taenia_soi_tuoi_inh_danh,Taenia soi tươi định danh,chemistry,blood,Sándây|Taenia soi tươi định danh,lab_list_pdf#10:43
testosterol,Testosterol,endocrine,blood,Testosterol,both#5:151
tg,Tg,chemistry,blood,TG|Tg (Thyroglobulin)|Thyroglobulin,both#6:154
tgf_beta_1,TGF beta 1,chemistry,blood,TGF beta 1|TGF beta 1( Transforming Growth Factor Beta 1),lab_med_ministry_pdf#5:152
tgf_beta_2,TGF beta 2,chemistry,blood,TGF beta 2|TGF beta 2( Transforming Growth Factor Beta 2),lab_med_ministry_pdf#6:153
thc,THC,urinalysis,urine,Canabionids|THC|THC (Canabionids),lab_med_ministry_pdf#7:201
theophylline,Theophylline,chemistry,blood,Theophylline,lab_med_ministry_pdf#6:155
tieu_cau,Tiểu cầu,hematology,blood,PLT,lab_seed_terms.csv
tim_au_trung_giun_chi_trong_mau,Tìm ấu trùng giun chỉ trong máu,chemistry,blood,Tìm ấu trùng giun chỉ trong máu,lab_list_pdf#9:38
tim_au_trung_giun_luon_trong_phan,Tìm ấu trùng giun lươn trong phân,chemistry,blood,Tìm ấu trùng giun lươn trong phân,lab_list_pdf#9:34
tobramycin,Tobramycin,chemistry,blood,Tobramycin,lab_med_ministry_pdf#6:163
tong_phan_tich_nuoc_tieu,Tổng phân tích nước tiểu,urinalysis,urine,UA,lab_seed_terms.csv
total_p1np,Total p1NP,chemistry,blood,Total p1NP,lab_med_ministry_pdf#6:164
tpt_nuoc_tieu,TPT nước tiểu,coagulation,blood,TPT nước tiểu,lab_list_pdf#5:87
trab,TRAb,chemistry,blood,TRAb|TRAb (TSH Receptor Antibodies)|TSH Receptor Antibodies,lab_med_ministry_pdf#6:156
transferin,Transferin,chemistry,blood,Transferin,lab_med_ministry_pdf#6:157
treponemapallidum_test_nhanh,Treponemapallidum test nhanh,chemistry,unknown,Treponemapallidum test nhanh,lab_list_pdf#8:17
trichomonasvaginalis_soi_tuoi,Trichomonasvaginalis soi tươi,chemistry,blood,Trichomonasvaginalis soi tươi,lab_list_pdf#10:44
triglycerid,Triglycerid,chemistry,blood,Triglycerid,both#6:158
troponin_i,Troponin I,chemistry,blood,Troponin I,both#6:161
troponin_t,Troponin T,chemistry,blood,troponin|Troponin T,lab_med_ministry_pdf#6:159; lab_seed_terms.csv
troponin_t_hs,Troponin T hs,chemistry,blood,Troponin T hs,both#6:160
trung_giun_san_soi_tuoi,"Trứng giun, sán soi tươi",chemistry,blood,"Trứng giun, sán soi tươi",lab_list_pdf#9:32
trung_giun_soi_tap_trung,Trứng giun soi tập trung,chemistry,blood,Trứng giun soi tập trung,lab_list_pdf#9:33
tsh,TSH,endocrine,blood,TSH|TSH (Thyroid Stimulating hormone),both#6:162
tt,TT (thời gian thrombin),coagulation,blood,TT|TT (thời gian thrombin)|thời gian thrombin,manual_curation#0:; plan_section_9
uong_dich_nao_tuy,Đường dịch não tủy,chemistry,blood,Đường dịch não tủy,lab_list_pdf#7:111
ure,Ure niệu,urinalysis,blood,Ure máu|Ure niệu|BUN,abbreviation.txt:BUN; both#7:108
valproic_acid,Valproic acid,chemistry,blood,Valproic acid,lab_med_ministry_pdf#6:167
vancomycin,Vancomycin,chemistry,blood,Vancomycin,lab_med_ministry_pdf#6:168
vi_he_uong_ruot,Vi hệ đường ruột,chemistry,unknown,Vi hệ đường ruột,lab_list_pdf#8:8
vi_khuan_khang_inh,Vi khuẩn khẳng định,chemistry,unknown,Vi khuẩn khẳng định,lab_list_pdf#8:7
vi_khuan_khang_thuoc_he_thong_tu_ong,Vi khuẩn kháng thuốc hệ thống tự động,chemistry,unknown,Vi khuẩn kháng thuốc hệ thống tự động,lab_list_pdf#8:4
vi_khuan_khang_thuoc_inh_tinh,Vi khuẩn kháng thuốc định tính,chemistry,unknown,Vi khuẩn kháng thuốc định tính,lab_list_pdf#8:3
vi_khuan_nhuom_soi,Vi khuẩn nhuộm soi,microbiology,unknown,Vi khuẩn nhuộm soi,lab_list_pdf#8:1
vi_nam_nhuom_soi,Vi nấm nhuộm soi,microbiology,blood,Vi nấm nhuộm soi,lab_list_pdf#10:46
vi_nam_soi_tuoi,Vi nấm soi tươi,chemistry,blood,Vi nấm soi tươi,lab_list_pdf#10:45
vibrio_cholera_nhuom_soi,Vibrio cholera nhuộm soi,microbiology,unknown,Vibrio cholera nhuộm soi,lab_list_pdf#8:11
vibrio_cholera_soi_tuoi,Vibrio cholera soi tươi,chemistry,unknown,Vibrio cholera soi tươi,lab_list_pdf#8:10
vitamin_b12,Vitamin B12,chemistry,blood,Vitamin B12,lab_med_ministry_pdf#6:169
xac_inh_ten_vi_khuan,Xác định tên vi khuẩn,chemistry,unknown,Xác định tên vi khuẩn,lab_list_pdf#8:6
xac_inh_vi_khuan_lao,Xác định vi khuẩn lao,chemistry,blood,Xác định vi khuẩn lao,lab_list_pdf#9:24
