canonical_key,canonical_name,category,default_specimen,aliases,external_source_notes
calcitonin,Calcitonin,chemistry,blood,Calcitonin|canxitonin,lab_med_ministry_pdf#3:36
canci_ion_hoa_bang_ien_cuc_chon_loc,canci ion hóa bằng điện cực chọn lọc,chemistry,blood,canci ion hóa bằng điện cực chọn lọc,lab_med_ministry_pdf#2:31
cancitonil,Cancitonil,chemistry,blood,Cancitonil,lab_list_pdf#5:85
carbamazepin,Carbamazepin,chemistry,blood,Carbamazepin,lab_med_ministry_pdf#3:37
catecholamin,Catecholamin,urinalysis,urine,Catecholamin,lab_med_ministry_pdf#6:181
cea,CEA,tumor_marker,blood,CEA|CEA (carcino embryonic antigen),both#3:39
ceruloplasmin,Ceruloplasmin,chemistry,blood,Ceruloplasmin,lab_med_ministry_pdf#3:38
che,CHE,chemistry,blood,CHE,lab_list_pdf#2:20
cholesterol,Cholesterol,chemistry,blood,Cholesterol,lab_list_pdf#1:8
cholesterol_toan_phan,Cholesterol toàn phần,chemistry,blood,Cholesterol toàn phần,lab_med_ministry_pdf#3:41
cholinesterase,Cholinesterase,chemistry,blood,ChE|Cholinesterase|Cholinesterase (ChE),lab_med_ministry_pdf#3:40
chuc_nang_gan,Xét nghiệm chức năng gan,chemistry,blood,xét nghiệm chức năng gan,lab_seed_terms.csv
ck,CK,chemistry,blood,CK|CK (Creatine kinase)|CPK|Creatine kinase,both#3:42
ck_mb,CK-MB,chemistry,blood,CK-MB|CK-MB (Isozym MB of Creatine kinase),both#3:43
clo,Clo,chemistry,csf,Clo|Cl,abbreviation.txt:Cl; lab_med_ministry_pdf#7:204
clo_dich_nao_tuy,Clo dịch não tủy,chemistry,blood,Clo dịch não tủy,lab_list_pdf#7:112
cmv_real_time_pcr,CMV Real-time PCR,microbiology,blood,CMV Real-time PCR,lab_list_pdf#9:27
co2,CO2,blood_gas,blood,CO2,plan_section_9
cocain,Cocain,urinalysis,urine,Cocain,lab_med_ministry_pdf#6:182
cong_thuc_mau,Công thức máu,hematology,blood,CBC|công thức máu,lab_seed_terms.csv
cortisol,Cortisol,endocrine,blood,Cortisol,both#3:46
creatinine,Creatinin,chemistry,blood,creatinine|Creatinin máu|Creatinin niệu|creatinine máu|creatinine niệu,both#7:109; lab_seed_terms.csv
crp,CRP,immunology,blood,CRP,lab_list_pdf#2:27
crp_hs,CRP hs,immunology,blood,CRP hs (C-reactive protein high sesitivity)|CRPhs|crp hs|crphs (c-reactive protein high sesitivity),both#3:50
cyclosphorin,cyclosphorin,chemistry,blood,cyclosphorin,lab_med_ministry_pdf#3:53
cyfra_21_1,Cyfra 21- 1,tumor_marker,blood,Cyfra 21- 1|Cyfra 21-1,both#3:52
cystatine_c,Cystatine C,chemistry,blood,Cystatine C,lab_med_ministry_pdf#3:47
d_dimer,D-Dimer,coagulation,blood,D-Dimer|d dimer,both#4:62
dengue_virus_ns1ag_igm_igg_test_nhanh,Dengue virus NS1Ag/IgM - IgG test nhanh,chemistry,blood,Dengue virus NS1Ag/IgM - IgG test nhanh,lab_list_pdf#9:26
dich_choc_do,dịch chọc dò,chemistry,puncture_fluid,dịch chọc dò,lab_med_ministry_pdf#7:219
digitoxin,Digitoxin,chemistry,blood,Digitoxin,lab_med_ministry_pdf#3:57
digoxin,Digoxin,chemistry,blood,Digoxin,lab_med_ministry_pdf#3:56
e3_khong_lien_hop,E3 không liên hợp,chemistry,blood,E3 không liên hợp|E3 không liên hợp (Unconjugated Estriol)|Unconjugated Estriol,lab_med_ministry_pdf#3:62
estradiol,Estradiol,endocrine,blood,Estradiol,both#3:61
ethanol,Ethanol,chemistry,blood,Ethanol|Ethanol (cồn)|cồn,both#3:60
fabd,FABD,chemistry,blood,FABD|FABD (Fatty acid binding protein),lab_med_ministry_pdf#3:59
ferritin,Feritin,chemistry,blood,Feritin|ferritin,both#4:66
fibrinogen,Fibrinogen,coagulation,blood,fibrinogen,plan_section_9
folate,Folate,chemistry,blood,Folate,lab_med_ministry_pdf#3:67
free_hcg,free HCG,endocrine,blood,free HCG|free HCG (Free Beta Human chorionic gonadotropin),lab_med_ministry_pdf#3:66
fructosamin,Fructosamin,chemistry,blood,Fructosamin,lab_med_ministry_pdf#3:64
fsh,FSH,endocrine,blood,FSH|FSH (Follicular stimulating hormone),both#3:65
ft,FT,chemistry,blood,FT|FT (Free Triiodothyronine)|Free Triiodothyronine,lab_med_ministry_pdf#3:68
ft3,FT3,endocrine,blood,FT3,lab_list_pdf#3:40
ft4,FT4,endocrine,blood,FT4,lab_list_pdf#3:41
g6pd,G6PD,hematology,blood,G6PD|G6PD (Glucose -6 phosphat dehydrogenase),lab_med_ministry_pdf#3:72
galectin_3,Galectin 3,chemistry,blood,Galectin 3,lab_med_ministry_pdf#3:70
gastrin,Gastrin,chemistry,blood,Gastrin,lab_med_ministry_pdf#3:71
gentamicin,Gentamicin,chemistry,blood,Gentamicin,lab_med_ministry_pdf#4:79
ggt,GGT,chemistry,blood,GGT|GGT (Gama Glutamyl Transferase),both#4:77
gh,GH,chemistry,blood,GH|GH (Growth Hormone)|Growth Hormone,lab_med_ministry_pdf#4:73
gldh,GLDH,chemistry,blood,GLDH|GLDH (Glutamat dehydrogenase)|Glutamat dehydrogenase,lab_med_ministry_pdf#4:74
globulin,Globulin,chemistry,blood,Globulin,both#4:76
glp_1,GLP-1,chemistry,blood,GLP-1,lab_med_ministry_pdf#4:78
glucose,Glucose,chemistry,blood,Glucose|Glucose máu,both#4:75
haptoglobulin,Haptoglobulin,coagulation,blood,Haptoglobulin,lab_med_ministry_pdf#4:80
hba1c,HbA1c,chemistry,blood,HbA1C,both#4:83
hbdh,HBDH,chemistry,blood,HBDH|HBDH (Hydroxy butyrat dehydrogenase),lab_med_ministry_pdf#4:82
hbeag_mien_dich_tu_ong,HBeAg miễn dịch tự động,chemistry,blood,HBeAg miễn dịch tự động,lab_list_pdf#5:75
hbeag_test_nhanh,HBeAg test nhanh,chemistry,unknown,HBeAg test nhanh,lab_list_pdf#8:18
hbs_g,HBs g,immunology,blood,CMI / ECLI|HBs g|HBs g (HBs g Quantitative) ( CMI / ECLI )|HBs g Quantitative,lab_med_ministry_pdf#4:81
hbsag_mien_dich_tu,HBsAg miễn dịch tự,immunology,blood,HBsAg miễn dịch tự,lab_list_pdf#4:74
hbsag_quant,HBsAg Quant,immunology,blood,HBsAg Quant|HbsAg định lượng,lab_list_pdf#4:73
hbv_o_tai_luong_he_thong_tu_ong,HBV đo tải lượng hệ thống tự động,chemistry,blood,HBV đo tải lượng hệ thống tự động,lab_list_pdf#9:20
hbv_o_tai_luong_real_time_pcr,HBV đo tải lượng Real-time PCR,microbiology,unknown,HBV đo tải lượng Real-time PCR,lab_list_pdf#8:19
hcg,hCG,endocrine,blood,hCG|hCG (Beta human Chorionic gonadotropins),lab_med_ministry_pdf#2:24
hcv_genotype_real_time_pcr,HCV genotype Real-time PCR,microbiology,blood,HCV genotype Real-time PCR,lab_list_pdf#9:23
hcv_o_tai_luong_he_thong_tu_ong,HCV đo tải lượng hệ thống tự động,chemistry,blood,HCV đo tải lượng hệ thống tự động,lab_list_pdf#9:22
hcv_o_tai_luong_real_time_pcr,HCV đo tải lượng Real-time PCR,microbiology,blood,HCV đo tải lượng Real-time PCR,lab_list_pdf#9:21
hdl,HDL,chemistry,blood,HDL,lab_list_pdf#1:9
hdl_c,HDL-C,chemistry,blood,HDL-C|HDL-C (High density lipoprotein Cholesterol),lab_med_ministry_pdf#4:84
he4,HE4,tumor_marker,blood,HE4,both#4:85
hematocrit,Hematocrit,hematology,blood,Hct|hematocrit,plan_section_9
hemoglobin,Hemoglobin,hematology,blood,HGB|Hb|hemoglobin,plan_section_9
homocystein,Homocystein,chemistry,blood,Homocystein,lab_med_ministry_pdf#4:86
hong_cau,Hồng cầu,hematology,blood,RBC,lab_seed_terms.csv
hong_cau_bach_cau_trong_phan_soi_tuoi,"Hồng cầu, bạch cầu trong phân soi tươi",hematology,blood,"Hồng cầu, bạch cầu trong phân soi tươi",lab_list_pdf#9:29
hsv_real_time_pcr,HSV Real-time PCR,microbiology,blood,HSV Real-time PCR,lab_list_pdf#9:28
huyet_do,Huyết đồ,hematology,blood,huyết đồ,plan_section_9
huyet_khoi,Huyết khối,coagulation,blood,huyết khối,lab_seed_terms.csv
ien_giai_nieu,Điện giải niệu,chemistry,blood,Điện giải niệu,lab_list_pdf#7:113
iga,IgA,chemistry,blood,IgA|IgA (Immunoglobuline A)|Immunoglobuline A,lab_med_ministry_pdf#4:94
ige,IgE,chemistry,blood,IgE|IgE (bằng phương pháp ELIS )|bằng phương pháp ELIS,lab_med_ministry_pdf#4:92
igfbp_3,IGFBP-3,chemistry,blood,IGFBP-3|IGFBP-3 ( Insulin like growth factor binding protein 3),lab_med_ministry_pdf#4:97
igg,IgG,chemistry,blood,IgG|IgG (Immunoglobuline G)|Immunoglobuline G,lab_med_ministry_pdf#4:95
igm,IgM,chemistry,blood,IgM|IgM (Immunoglobuline M)|Immunoglobuline M,lab_med_ministry_pdf#4:96
il_10,IL-10,chemistry,blood,IL-10|IL-10 (Interleukin 10)|Interleukin 10,lab_med_ministry_pdf#4:91
il_1alpha,IL-1alpha,chemistry,blood,IL-1alpha|IL-1alpha (Interleukin 1alpha )|Interleukin 1alpha,lab_med_ministry_pdf#4:87
il_1beta,IL -1beta,chemistry,blood,IL -1beta|IL -1beta (Interleukin 1beta )|Interleukin 1beta,lab_med_ministry_pdf#4:88
il_6,IL-6,chemistry,blood,IL-6|IL-6 ( Interleukin 6)|Interleukin 6,lab_med_ministry_pdf#4:89
il_8,IL-8,chemistry,blood,IL-8|IL-8 (Interleukin 8)|Interleukin 8,lab_med_ministry_pdf#4:90
ima,IMA,chemistry,blood,IMA|IMA (Ischemia Modified Albumin),lab_med_ministry_pdf#4:100
inh_luong_protein_dich_nao_tuy,Định lượng protein dịch não tủy,chemistry,blood,Định lượng protein dịch não tủy,lab_list_pdf#7:102
inh_luong_thuoc_tacrolimus,Định lượng thuốc Tacrolimus,chemistry,blood,Định lượng thuốc Tacrolimus,lab_list_pdf#5:81
inh_tinh_amphetamin_nieu,Định tính amphetamin niệu,chemistry,blood,Định tính amphetamin niệu,lab_list_pdf#6:90
inh_tinh_beta_hcg_nieu,Định tính beta -HCG niệu,endocrine,blood,Định tính beta -HCG niệu,lab_list_pdf#6:96
