source_pdf,source_page,source_item,raw_name,normalized_name,canonical_key,canonical_name,category,specimen,official_name,local_name,notes
lab_med_ministry_pdf,4,87,Định lượng IL-1alpha (Interleukin 1alpha ),IL-1alpha (Interleukin 1alpha ),il_1alpha,IL-1alpha,chemistry,blood,IL-1alpha (Interleukin 1alpha ),,
lab_med_ministry_pdf,4,88,Định lượng IL -1beta (Interleukin 1beta ),IL -1beta (Interleukin 1beta ),il_1beta,IL -1beta,chemistry,blood,IL -1beta (Interleukin 1beta ),,
lab_med_ministry_pdf,4,89,Định lượng IL-6 ( Interleukin 6),IL-6 ( Interleukin 6),il_6,IL-6,chemistry,blood,IL-6 ( Interleukin 6),,
lab_med_ministry_pdf,4,90,Định lượng IL-8 (Interleukin 8),IL-8 (Interleukin 8),il_8,IL-8,chemistry,blood,IL-8 (Interleukin 8),,
lab_med_ministry_pdf,4,100,Định lượng IMA (Ischemia Modified Albumin),IMA (Ischemia Modified Albumin),ima,IMA,chemistry,blood,IMA (Ischemia Modified Albumin),,
lab_list_pdf,7,102,Định lượng protein dịch não tủy,Định lượng protein dịch não tủy,inh_luong_protein_dich_nao_tuy,Định lượng protein dịch não tủy,chemistry,blood,,Định lượng protein dịch não tủy,
lab_list_pdf,5,81,Định lượng thuốc Tacrolimus,Định lượng thuốc Tacrolimus,inh_luong_thuoc_tacrolimus,Định lượng thuốc Tacrolimus,chemistry,blood,,Định lượng thuốc Tacrolimus,
lab_list_pdf,6,90,Định tính amphetamin niệu,Định tính amphetamin niệu,inh_tinh_amphetamin_nieu,Định tính amphetamin niệu,chemistry,blood,,Định tính amphetamin niệu,
lab_list_pdf,6,96,Định tính beta -HCG niệu,Định tính beta -HCG niệu,inh_tinh_beta_hcg_nieu,Định tính beta -HCG niệu,endocrine,blood,,Định tính beta -HCG niệu,
lab_list_pdf,7,105,Định tính IgG-HP bằng test nhanh,Định tính IgG-HP bằng test nhanh,inh_tinh_igg_hp_bang_test_nhanh,Định tính IgG-HP bằng test nhanh,chemistry,blood,,Định tính IgG-HP bằng test nhanh,
